round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
92,0.0013974544126540422,0.0013974544126540422,0.017820900306105614,0.0014831234002485871,0.0014831234002485871,0.01898849941790104,32,7,relu,75,32,relu,256,200,20,adam,0.0001
106,0.0013853594427928329,0.0013853594427928329,0.01784302294254303,0.0015154446009546518,0.0015154446009546518,0.018988357856869698,32,7,relu,50,64,tanh,256,200,20,adam,0.0001
101,0.0014040988171473145,0.0014040988171473145,0.017902545630931854,0.0015034045791253448,0.0015034045791253448,0.019144795835018158,64,3,relu,50,64,tanh,256,200,20,adam,1e-05
92,0.0013990465085953474,0.0013990465085953474,0.017676329240202904,0.001481702085584402,0.001481702085584402,0.018915826454758644,64,7,relu,50,32,relu,256,200,20,adam,0.001
97,0.0014013706240803003,0.0014013706240803003,0.017850134521722794,0.0015229616547003388,0.0015229616547003388,0.01900864578783512,64,5,relu,50,64,relu,256,200,20,adam,1e-05
94,0.0014002982061356306,0.0014002982061356306,0.017913231626152992,0.0015226639807224274,0.0015226639807224274,0.019074968993663788,64,5,relu,75,64,tanh,256,200,20,adam,1e-05
92,0.0013901956845074892,0.0013901956845074892,0.017755428329110146,0.0014907346339896321,0.0014907346339896321,0.01897597499191761,64,7,relu,50,64,tanh,256,200,20,adam,1e-05
91,0.0014037752989679575,0.0014037752989679575,0.01793057657778263,0.001603135489858687,0.001603135489858687,0.019560329616069794,32,3,relu,50,64,tanh,256,200,20,adam,1e-05
80,0.0014129112241789699,0.0014129112241789699,0.017976218834519386,0.0015190780395641923,0.0015190780395641923,0.019238099455833435,64,5,relu,50,64,relu,256,200,20,adam,0.001
94,0.001399979111738503,0.001399979111738503,0.017799047753214836,0.001499638776294887,0.001499638776294887,0.019170282408595085,64,7,relu,50,64,relu,256,200,20,adam,1e-05
106,0.0013920326018705964,0.0013920326018705964,0.017804186791181564,0.001518569770269096,0.001518569770269096,0.019062768667936325,32,7,relu,50,32,relu,256,200,20,adam,1e-05
77,0.0014148231130093336,0.0014148231130093336,0.017957447096705437,0.0015244738897308707,0.0015244738897308707,0.01938081718981266,64,5,relu,75,64,relu,256,200,20,adam,1e-05
93,0.0014027211582288146,0.0014027211582288146,0.017978526651859283,0.0015657000476494431,0.0015657000476494431,0.019263694062829018,32,3,relu,75,16,relu,256,200,20,adam,0.001
81,0.0013957744231447577,0.0013957744231447577,0.017850320786237717,0.0015316775534301996,0.0015316775534301996,0.019119039177894592,32,7,relu,75,32,tanh,256,200,20,adam,0.0001
93,0.0013978106435388327,0.0013978106435388327,0.01797424629330635,0.0015568191884085536,0.0015568191884085536,0.019329072907567024,32,7,relu,75,64,tanh,256,200,20,adam,0.001
97,0.0013961984077468514,0.0013961984077468514,0.01782958023250103,0.0015019814018160105,0.0015019814018160105,0.019014105200767517,32,5,relu,75,64,tanh,256,200,20,adam,0.0001
