round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
91,0.0020624559838324785,0.0020624559838324785,0.022216835990548134,0.0020594107918441296,0.0020594107918441296,0.024685870856046677,32,5,relu,50,16,tanh,256,200,20,adam,0.0001
1000,0.001990885240957141,0.001990885240957141,0.021743977442383766,0.001989422831684351,0.001989422831684351,0.024509014561772346,64,7,relu,75,16,relu,256,200,20,adam,0.001
181,0.002066975459456444,0.002066975459456444,0.022176427766680717,0.002037852071225643,0.002037852071225643,0.024518867954611778,64,7,relu,50,64,relu,256,200,20,adam,1e-05
110,0.0020691794343292713,0.0020691794343292713,0.022094523534178734,0.0019383300095796585,0.0019383300095796585,0.02416335605084896,64,5,relu,75,64,tanh,256,200,20,adam,1e-05
1000,0.001993166748434305,0.001993166748434305,0.021900037303566933,0.001979982014745474,0.001979982014745474,0.024353476241230965,64,5,relu,50,16,relu,256,200,20,adam,0.0001
109,0.002068318659439683,0.002068318659439683,0.022099845111370087,0.0019212590996176004,0.0019212590996176004,0.02389327622950077,32,3,relu,75,64,relu,256,200,20,adam,0.001
130,0.0020654855761677027,0.0020654855761677027,0.022148853167891502,0.0018893663072958589,0.0018893663072958589,0.02407577447593212,64,3,relu,50,32,tanh,256,200,20,adam,0.0001
171,0.0020640594884753227,0.0020640594884753227,0.02221754752099514,0.0019967968109995127,0.0019967968109995127,0.024502497166395187,64,3,relu,75,64,tanh,256,200,20,adam,0.0001
1000,0.0020000694785267115,0.0020000694785267115,0.02206926792860031,0.0019768488127738237,0.0019768488127738237,0.024391354992985725,32,7,relu,75,64,tanh,256,200,20,adam,0.001
178,0.0020591076463460922,0.0020591076463460922,0.02213279716670513,0.0019980641081929207,0.0019980641081929207,0.02446816861629486,32,3,relu,50,64,tanh,256,200,20,adam,0.001
85,0.002063275780528784,0.002063275780528784,0.022156614810228348,0.002018500817939639,0.002018500817939639,0.024348068982362747,32,7,relu,75,32,relu,256,200,20,adam,0.001
91,0.002065576845780015,0.002065576845780015,0.022198453545570374,0.0020205455366522074,0.0020205455366522074,0.024517551064491272,64,3,relu,50,32,tanh,256,200,20,adam,0.001
77,0.0020670827943831682,0.0020670827943831682,0.02227686531841755,0.002052600495517254,0.002052600495517254,0.024533910676836967,32,3,relu,75,16,relu,256,200,20,adam,1e-05
291,0.002050358336418867,0.002050358336418867,0.022095268592238426,0.0019363085739314556,0.0019363085739314556,0.024218566715717316,32,7,relu,75,32,relu,256,200,20,adam,0.0001
267,0.002068972447887063,0.002068972447887063,0.02225261926651001,0.00197630375623703,0.00197630375623703,0.024263324216008186,64,7,relu,75,64,tanh,256,200,20,adam,1e-05
110,0.002077001379802823,0.002077001379802823,0.022221378982067108,0.0019913301803171635,0.0019913301803171635,0.02442452311515808,64,7,relu,75,64,tanh,256,200,20,adam,0.0001
92,0.0020687798969447613,0.0020687798969447613,0.022151948884129524,0.0018903856398537755,0.0018903856398537755,0.023953627794981003,32,7,relu,50,16,relu,256,200,20,adam,0.0001
97,0.002087823348119855,0.002087823348119855,0.022317206487059593,0.002065841807052493,0.002065841807052493,0.024557840079069138,64,5,relu,50,64,tanh,256,200,20,adam,1e-05
99,0.002056565135717392,0.002056565135717392,0.02204948477447033,0.001952426740899682,0.001952426740899682,0.024059850722551346,64,3,relu,50,16,relu,256,200,20,adam,0.0001
89,0.002068611793220043,0.002068611793220043,0.022223345935344696,0.002076979959383607,0.002076979959383607,0.024605564773082733,64,7,relu,75,32,relu,256,200,20,adam,0.001
233,0.002073427429422736,0.002073427429422736,0.02224067971110344,0.002032512566074729,0.002032512566074729,0.024456137791275978,32,7,relu,50,64,tanh,256,200,20,adam,1e-05
93,0.0020582296419888735,0.0020582296419888735,0.022094598039984703,0.001994808204472065,0.001994808204472065,0.024316010996699333,64,5,relu,50,16,relu,256,200,20,adam,0.001
97,0.0020643926691263914,0.0020643926691263914,0.02212115190923214,0.0019799096044152975,0.0019799096044152975,0.02428530715405941,64,3,relu,75,64,relu,256,200,20,adam,1e-05
105,0.0020682213362306356,0.0020682213362306356,0.022140998393297195,0.0019708082545548677,0.0019708082545548677,0.024160610511898994,64,7,relu,50,16,tanh,256,200,20,adam,0.001
264,0.002055366989225149,0.002055366989225149,0.022184278815984726,0.002022258471697569,0.002022258471697569,0.024521445855498314,64,5,relu,75,32,tanh,256,200,20,adam,0.0001
97,0.002051210729405284,0.002051210729405284,0.022105377167463303,0.002022610744461417,0.002022610744461417,0.024413075298070908,64,5,relu,50,32,tanh,256,200,20,adam,1e-05
96,0.0020762975327670574,0.0020762975327670574,0.022268911823630333,0.002039167098701,0.002039167098701,0.02449684403836727,32,3,relu,50,16,tanh,256,200,20,adam,0.001
94,0.002063371706753969,0.002063371706753969,0.022156570106744766,0.0019404030172154307,0.0019404030172154307,0.02415071800351143,64,7,relu,50,16,tanh,256,200,20,adam,1e-05
93,0.0020535585936158895,0.0020535585936158895,0.022012650966644287,0.001974474173039198,0.001974474173039198,0.024204324930906296,64,7,relu,50,16,relu,256,200,20,adam,0.0001
98,0.002051935764029622,0.002051935764029622,0.02202649973332882,0.0019413670524954796,0.0019413670524954796,0.024138888344168663,32,7,relu,50,64,relu,256,200,20,adam,1e-05
101,0.002059025689959526,0.002059025689959526,0.022083202376961708,0.0019799857400357723,0.0019799857400357723,0.024274980649352074,32,3,relu,50,32,relu,256,200,20,adam,1e-05
93,0.002058999612927437,0.002058999612927437,0.022101333364844322,0.00202357885427773,0.00202357885427773,0.02435409650206566,32,7,relu,50,16,tanh,256,200,20,adam,0.0001
577,0.0020257283467799425,0.0020257283467799425,0.022049633786082268,0.002053938340395689,0.002053938340395689,0.02465677447617054,32,7,relu,50,64,tanh,256,200,20,adam,0.0001
110,0.002067013643682003,0.002067013643682003,0.022165631875395775,0.002007689094170928,0.002007689094170928,0.024418188259005547,32,7,relu,75,64,relu,256,200,20,adam,0.001
87,0.0020491706673055887,0.0020491706673055887,0.021959083154797554,0.0019090468995273113,0.0019090468995273113,0.02399633638560772,32,3,relu,50,64,tanh,256,200,20,adam,0.0001
