round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
195,0.0033391988836228848,0.0033391988836228848,0.027303243055939674,0.002049738308414817,0.002049738308414817,0.025330886244773865,64,5,relu,50,32,relu,256,200,20,adam,0.001
109,0.0033616626169532537,0.0033616626169532537,0.027354907244443893,0.0021021433640271425,0.0021021433640271425,0.025554141029715538,32,5,relu,50,64,relu,256,200,20,adam,0.001
154,0.003322191769257188,0.003322191769257188,0.027276884764432907,0.002042963169515133,0.002042963169515133,0.025018582120537758,32,5,relu,75,64,tanh,256,200,20,adam,0.001
99,0.0033474930096417665,0.0033474930096417665,0.027415292337536812,0.0021198687609285116,0.0021198687609285116,0.025623487308621407,32,7,relu,50,16,relu,256,200,20,adam,0.0001
83,0.0034424406476318836,0.0034424406476318836,0.027827223762869835,0.0021462510339915752,0.0021462510339915752,0.025921769440174103,64,5,relu,50,32,relu,256,200,20,adam,0.0001
88,0.003440138418227434,0.003440138418227434,0.02787238359451294,0.002091081812977791,0.002091081812977791,0.025778841227293015,32,7,relu,75,16,tanh,256,200,20,adam,0.0001
128,0.003391853766515851,0.003391853766515851,0.02760452590882778,0.002081346232444048,0.002081346232444048,0.02555103413760662,32,3,relu,50,32,relu,256,200,20,adam,1e-05
193,0.0033541552256792784,0.0033541552256792784,0.02736104279756546,0.0020537341479212046,0.0020537341479212046,0.025380685925483704,32,5,relu,75,64,relu,256,200,20,adam,1e-05
277,0.0033652072306722403,0.0033652072306722403,0.02741881087422371,0.0020995945669710636,0.0020995945669710636,0.025568943470716476,64,5,relu,50,64,relu,256,200,20,adam,1e-05
87,0.0033825917635113,0.0033825917635113,0.027514111250638962,0.0020860466174781322,0.0020860466174781322,0.025451375171542168,64,3,relu,50,16,tanh,256,200,20,adam,0.001
