round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
148,0.0014385307440534234,0.0014385307440534234,0.017959341406822205,0.0013308540219441056,0.0013308540219441056,0.018912754952907562,75,relu,32,relu,256,200,20,rmsprop,0.0001
151,0.0014134779339656234,0.0014134779339656234,0.017729520797729492,0.0013442147755995393,0.0013442147755995393,0.018810873851180077,50,relu,32,relu,256,200,20,nadam,0.0001
130,0.0014494801871478558,0.0014494801871478558,0.018025066703557968,0.0013382819015532732,0.0013382819015532732,0.01902819238603115,75,relu,16,relu,256,200,20,adam,1e-05
102,0.0014703163178637624,0.0014703163178637624,0.018164996057748795,0.0013342552119866014,0.0013342552119866014,0.019124550744891167,100,relu,64,relu,256,200,20,rmsprop,0.001
113,0.001486724941059947,0.001486724941059947,0.018320389091968536,0.001353179570287466,0.001353179570287466,0.019302088767290115,100,relu,100,relu,256,200,20,nadam,0.001
130,0.0014090618351474404,0.0014090618351474404,0.017691634595394135,0.0013411400141194463,0.0013411400141194463,0.018722981214523315,75,relu,16,relu,256,200,20,nadam,1e-05
134,0.0014269870007410645,0.0014269870007410645,0.017816688865423203,0.0013231588527560234,0.0013231588527560234,0.01878831535577774,75,relu,100,relu,256,200,20,rmsprop,0.001
131,0.001513138529844582,0.001513138529844582,0.018536172807216644,0.0013313980307430029,0.0013313980307430029,0.019329888746142387,50,relu,32,relu,256,200,20,rmsprop,1e-05
117,0.0014673894038423896,0.0014673894038423896,0.01824534684419632,0.0013273684307932854,0.0013273684307932854,0.019127244129776955,50,relu,32,relu,256,200,20,adam,1e-05
123,0.0014855779008939862,0.0014855779008939862,0.018307022750377655,0.0013633455382660031,0.0013633455382660031,0.01935470476746559,50,relu,64,relu,256,200,20,rmsprop,0.001
144,0.0014539419207721949,0.0014539419207721949,0.01807689294219017,0.0013535252073779702,0.0013535252073779702,0.019134720787405968,75,relu,100,relu,256,200,20,nadam,0.001
122,0.0014706022338941693,0.0014706022338941693,0.018236899748444557,0.001339622656814754,0.001339622656814754,0.019191155210137367,100,relu,32,relu,256,200,20,rmsprop,0.0001
174,0.0014313164865598083,0.0014313164865598083,0.017986906692385674,0.0013281101128086448,0.0013281101128086448,0.018970157951116562,75,relu,100,relu,256,200,20,rmsprop,1e-05
152,0.0014123694272711873,0.0014123694272711873,0.01771816983819008,0.0013448322424665093,0.0013448322424665093,0.01884065754711628,100,relu,64,relu,256,200,20,adam,0.001
