,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
17,0.00011043548583984375,4.287293776128583e-06,0.0,0.0,True,squared_error,10,auto,2,2,500,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",,,,,,,,,,,,,361
18,0.00010969638824462891,4.520469073699307e-06,0.0,0.0,True,squared_error,10,auto,2,2,800,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",,,,,,,,,,,,,361
19,0.00010974407196044922,4.7648536102586965e-06,0.0,0.0,True,squared_error,10,auto,2,2,1000,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",,,,,,,,,,,,,361
20,0.00011026859283447266,4.945389869854818e-06,0.0,0.0,True,squared_error,10,auto,2,5,200,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,,,,,,361
21,0.00010998249053955078,4.971527627889433e-06,0.0,0.0,True,squared_error,10,auto,2,5,400,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",,,,,,,,,,,,,361
22,0.00010881423950195312,3.614538890504308e-06,0.0,0.0,True,squared_error,10,auto,2,5,500,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",,,,,,,,,,,,,361
23,0.00011050701141357422,4.368007960229721e-06,0.0,0.0,True,squared_error,10,auto,2,5,800,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",,,,,,,,,,,,,361
24,0.00011014938354492188,4.883799602153537e-06,0.0,0.0,True,squared_error,10,auto,2,5,1000,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}",,,,,,,,,,,,,361
25,0.0001111745834350586,5.773521391158643e-06,0.0,0.0,True,squared_error,10,auto,2,10,200,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,,,,,,361
26,0.00010924339294433593,4.4409900481701094e-06,0.0,0.0,True,squared_error,10,auto,2,10,400,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",,,,,,,,,,,,,361
27,0.00011026859283447266,5.8295658471222425e-06,0.0,0.0,True,squared_error,10,auto,2,10,500,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",,,,,,,,,,,,,361
28,0.00011441707611083984,1.610074045752326e-05,0.0,0.0,True,squared_error,10,auto,2,10,800,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}",,,,,,,,,,,,,361
29,0.00011050701141357422,5.142606403856991e-06,0.0,0.0,True,squared_error,10,auto,2,10,1000,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",,,,,,,,,,,,,361
30,0.00010950565338134766,4.955494463931695e-06,0.0,0.0,True,squared_error,10,auto,4,2,200,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,,,,,,361
31,0.00011026859283447266,3.989862084329392e-06,0.0,0.0,True,squared_error,10,auto,4,2,400,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",,,,,,,,,,,,,361
32,0.00011107921600341796,6.489585549153663e-06,0.0,0.0,True,squared_error,10,auto,4,2,500,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",,,,,,,,,,,,,361
33,0.00010888576507568359,4.493478698463765e-06,0.0,0.0,True,squared_error,10,auto,4,2,800,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 800}",,,,,,,,,,,,,361
34,0.00010981559753417969,5.776621902812122e-06,0.0,0.0,True,squared_error,10,auto,4,2,1000,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}",,,,,,,,,,,,,361
35,0.00011105537414550782,8.18703156118934e-06,0.0,0.0,True,squared_error,10,auto,4,5,200,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,,,,,,361
36,0.0001119375228881836,8.410635683545717e-06,0.0,0.0,True,squared_error,10,auto,4,5,400,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",,,,,,,,,,,,,361
37,0.00010936260223388672,4.751712786533036e-06,0.0,0.0,True,squared_error,10,auto,4,5,500,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",,,,,,,,,,,,,361
38,0.000112152099609375,9.47467154057292e-06,0.0,0.0,True,squared_error,10,auto,4,5,800,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}",,,,,,,,,,,,,361
39,0.00010941028594970703,4.991382779601616e-06,0.0,0.0,True,squared_error,10,auto,4,5,1000,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1000}",,,,,,,,,,,,,361
40,0.00010921955108642579,5.5592444091290596e-06,0.0,0.0,True,squared_error,10,auto,4,10,200,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,,,,,,361
41,0.00011022090911865235,4.908238925256088e-06,0.0,0.0,True,squared_error,10,auto,4,10,400,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",,,,,,,,,,,,,361
42,0.0001102447509765625,5.83925991624513e-06,0.0,0.0,True,squared_error,10,auto,4,10,500,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",,,,,,,,,,,,,361
43,0.00010938644409179688,5.672959547029669e-06,0.0,0.0,True,squared_error,10,auto,4,10,800,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}",,,,,,,,,,,,,361
