,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.00038890838623046876,4.832831049344901e-05,0.00028803348541259763,1.607777592937953e-05,0.1,2,auto,linear,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
1,0.00036110877990722654,5.608598303237151e-05,0.00027396678924560545,8.312196291662242e-06,0.1,2,auto,poly,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.0017037094486221664,-0.0003619617201888647,-7.048781870130178e-05,-4.302643298647146e-05,-7.729775498280063e-05,-3.444627673730845e-05,-9.367529176076118e-05,-0.00011494150151017197,-0.0010930377008591184,-0.012953147882178944,-0.001654573182852791,0.0038035806469119303,157
2,0.00038611888885498047,7.51182182584851e-05,0.00027823448181152344,1.0487165814074427e-05,0.1,2,auto,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",-0.0017037094486221664,-0.0003621840074538458,-7.038653735432147e-05,-4.282492066454521e-05,-7.709649385274176e-05,-3.427043632401933e-05,-9.352898181323468e-05,-0.00011469246016240532,-0.0010923685369581733,-0.012942676451901862,-0.0016533738275107315,0.003800517127526911,72
3,0.0004006624221801758,8.56262826149897e-05,0.0002755880355834961,8.891734524788134e-06,0.1,2,auto,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.0003619995057604212,-7.046050501380755e-05,-4.29761105708202e-05,-7.724844109943597e-05,-3.440206089128685e-05,-9.363699538469961e-05,-0.00011488198592332693,-0.0010928960227299881,-0.012950974294702166,-0.001654318537069812,0.003802946968010326,147
4,0.0003531217575073242,4.973899002729477e-05,0.00027534961700439455,9.983135672446111e-06,0.1,2,0.1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
5,0.0003622770309448242,5.869497900488731e-05,0.00027136802673339845,8.719603393014064e-06,0.1,2,0.1,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",-0.0017037094486221664,-0.0003628923511196842,-7.019599500964284e-05,-4.23915159275619e-05,-7.66557490194515e-05,-3.3895891087658576e-05,-9.323878855953576e-05,-0.00011412880093079193,-0.0010906428124696846,-0.012913839955445677,-0.0016501591308191853,0.0037920482291414178,49
6,0.000388789176940918,6.892747096904156e-05,0.00028035640716552737,1.0603302774636004e-05,0.1,2,0.1,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0017037094486221664,-0.00036287726635254365,-7.01203169006065e-05,-4.2269059426967035e-05,-7.654273499708591e-05,-3.3787156943038494e-05,-9.313485396857713e-05,-0.0001140006349184607,-0.0010904816087109724,-0.012922016102535282,-0.0016508939183375701,0.0037945068577234903,51
7,0.00041904449462890623,9.669254700539048e-05,0.00027790069580078123,9.637656362172015e-06,0.1,2,0.1,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.00036205903250461453,-7.041144470289816e-05,-4.288709431801431e-05,-7.716176403289647e-05,-3.432373308252006e-05,-9.356858183757597e-05,-0.00011477803269264714,-0.0010926578732554188,-0.012947494196209388,-0.001653905120125814,0.0038019344623573285,136
8,0.0003537416458129883,5.111908396644218e-05,0.00027134418487548826,9.338859091128271e-06,0.1,2,1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
9,0.000385737419128418,6.658732137454643e-05,0.0002787590026855469,1.1938463666436966e-05,0.1,2,1,poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",-0.0017037094486221664,-0.0008945409113164265,-0.0004844375617752995,-0.0005187336710166259,-0.0005377460077466801,-0.00048298365526506517,-0.0005735838401172306,-0.0005974212779102366,-0.0017166638289300195,-0.01537130379371326,-0.002288112399641301,0.0043850231444241,575
10,0.0003824710845947266,7.07790678277758e-05,0.00027589797973632814,1.1553243805624243e-05,0.1,2,1,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}",-0.0017037094486221664,-0.0004221040085445944,-0.0001042212886389663,-9.051001127435287e-05,-0.0001221145973590155,-7.663909047788497e-05,-0.000142690182982542,-0.00016521570603175964,-0.0011667766373083263,-0.013033069248079693,-0.0017027050219319301,0.00381311568000374,413
11,0.00041849613189697265,9.844043286645839e-05,0.00028150081634521485,8.400356457198449e-06,0.1,2,1,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.0003618511489517243,-7.052601262551605e-05,-4.310666940456719e-05,-7.737952384613195e-05,-3.451595705147702e-05,-9.373145710675543e-05,-0.00011504453962984248,-0.0010933424707860364,-0.012958815041716875,-0.001655202226974109,0.0038052455234705886,356
12,0.0003528594970703125,5.015524557078948e-05,0.0002717256546020508,7.698410026652715e-06,0.1,2,0.0,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.0, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
13,0.000362396240234375,5.5736430493547205e-05,0.00027332305908203127,8.62679996924261e-06,0.1,2,0.0,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.0, 'kernel': 'poly'}",-0.0017037094486221664,-0.0003618511494458423,-7.052601314120703e-05,-4.310667028072755e-05,-7.737952466805751e-05,-3.451595781346697e-05,-9.373145792579311e-05,-0.00011504454059565508,-0.0010933424723927236,-0.012958815028868219,-0.0016552022263753858,0.0038052455194155046,236
14,0.00037550926208496094,6.621575465369438e-05,0.0002770185470581055,9.5209049792098e-06,0.1,2,0.0,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 0.0, 'kernel': 'rbf'}",-0.0017037094486221664,-0.0003618511494458423,-7.052601314120703e-05,-4.310667028072755e-05,-7.737952466805751e-05,-3.451595781346697e-05,-9.373145792579311e-05,-0.00011504454059565508,-0.0010933424723927236,-0.012958815028868219,-0.0016552022263753858,0.0038052455194155046,236
15,0.00036067962646484374,5.598480479123876e-05,0.0002737283706665039,6.948950704104023e-06,0.1,2,0.0,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 0.0, 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.0003618511494458423,-7.052601314120703e-05,-4.310667028072755e-05,-7.737952466805751e-05,-3.451595781346697e-05,-9.373145792579311e-05,-0.00011504454059565508,-0.0010933424723927236,-0.012958815028868219,-0.0016552022263753858,0.0038052455194155046,236
16,0.00035557746887207033,5.035547142346776e-05,0.000274658203125,8.247353212324719e-06,0.1,2,0.001,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
17,0.0003629922866821289,5.69054006380953e-05,0.0002732038497924805,6.918617968098674e-06,0.1,2,0.001,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",-0.0017037094486221664,-0.0003618512483851701,-7.052597859537743e-05,-4.310659798116394e-05,-7.737945092470268e-05,-3.451589501330872e-05,-9.373140721722975e-05,-0.0001150444477168021,-0.0010933421975601201,-0.012958809885524149,-0.001655201655754019,0.0038052440083367533,216
18,0.0003820657730102539,7.307941711396354e-05,0.00027806758880615233,1.1953333680723368e-05,0.1,2,0.001,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'rbf'}",-0.0017037094486221664,-0.0003618609887212972,-7.05217601407235e-05,-4.30981697099094e-05,-7.737096322188492e-05,-3.4508545017177205e-05,-9.372531980910372e-05,-0.00011503390554291642,-0.0010933129314226891,-0.012958288190370317,-0.0016551430222578184,0.003805091012333539,185
19,0.00039038658142089846,8.047050535572678e-05,0.00027506351470947267,9.347133422779978e-06,0.1,2,0.001,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.0003618560726244031,-7.052388953445249e-05,-4.310242583192162e-05,-7.737524926006262e-05,-3.451225636760557e-05,-9.372839443858071e-05,-0.00011503922956083084,-0.0010933277113441646,-0.012958551128336921,-0.0016551725805921112,0.003805168121341061,197
20,0.00035042762756347655,4.861796215462401e-05,0.00026977062225341797,5.163565204068019e-06,0.1,3,auto,linear,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
21,0.0003573894500732422,5.924133200590472e-05,0.00026957988739013673,7.061417383138415e-06,0.1,3,auto,poly,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",-0.0017037094486221664,-0.0003619063492497398,-7.051086853538803e-05,-4.3072935885353925e-05,-7.734459735650116e-05,-3.448680221727318e-05,-9.370869313197329e-05,-0.00011499980698643598,-0.001093200590809379,-0.01295604455343291,-0.0016548984646227124,0.0038044302552755573,170
22,0.00038347244262695315,7.087781367312453e-05,0.0002763032913208008,7.695012735084661e-06,0.1,3,auto,rbf,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",-0.0017037094486221664,-0.0003621840074538458,-7.038653735432147e-05,-4.282492066454521e-05,-7.709649385274176e-05,-3.427043632401933e-05,-9.352898181323468e-05,-0.00011469246016240532,-0.0010923685369581733,-0.012942676451901862,-0.0016533738275107315,0.003800517127526911,72
23,0.00039839744567871094,8.551406741232675e-05,0.0002729177474975586,8.42940341959018e-06,0.1,3,auto,sigmoid,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.0003619995057604212,-7.046050501380755e-05,-4.29761105708202e-05,-7.724844109943597e-05,-3.440206089128685e-05,-9.363699538469961e-05,-0.00011488198592332693,-0.0010928960227299881,-0.012950974294702166,-0.001654318537069812,0.003802946968010326,147
24,0.0003568172454833984,5.380671567601205e-05,0.0002732992172241211,8.24669841568487e-06,0.1,3,0.1,linear,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
25,0.0003653526306152344,5.366263601931531e-05,0.00027091503143310546,5.2376714651087616e-06,0.1,3,0.1,poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",-0.0017037094486221664,-0.0003634394581994278,-7.014436888154946e-05,-4.220900605311108e-05,-7.646058666221101e-05,-3.374183089249125e-05,-9.314246773326183e-05,-0.00011385984910034804,-0.0010896074997821003,-0.012897229496705905,-0.001648354401263257,0.0037871505270772985,36
26,0.0003844022750854492,7.351114469615838e-05,0.0002783060073852539,9.117476853616588e-06,0.1,3,0.1,rbf,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0017037094486221664,-0.00036287726635254365,-7.01203169006065e-05,-4.2269059426967035e-05,-7.654273499708591e-05,-3.3787156943038494e-05,-9.313485396857713e-05,-0.0001140006349184607,-0.0010904816087109724,-0.012922016102535282,-0.0016508939183375701,0.0037945068577234903,51
27,0.0004123210906982422,9.70263557992657e-05,0.0002725839614868164,1.02131406552427e-05,0.1,3,0.1,sigmoid,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.00036205903250461453,-7.041144470289816e-05,-4.288709431801431e-05,-7.716176403289647e-05,-3.432373308252006e-05,-9.356858183757597e-05,-0.00011477803269264714,-0.0010926578732554188,-0.012947494196209388,-0.001653905120125814,0.0038019344623573285,136
28,0.00034847259521484373,5.246110318467342e-05,0.0002683877944946289,8.920201015422672e-06,0.1,3,1,linear,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
29,0.0003838300704956055,7.323972333423571e-05,0.0002772808074951172,1.0558471152104205e-05,0.1,3,1,poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",-0.0017037094486221664,-0.0009016778943013719,-0.0004954806255495452,-0.0005303651104301822,-0.000548944239734129,-0.0004946509189127862,-0.0005843831338969899,-0.0006087262175896169,-0.0017268759804681183,-0.01509257795735807,-0.0022687391526862977,0.004298799184628966,535
30,0.00038149356842041013,6.950819206837802e-05,0.0002755403518676758,9.319727058959572e-06,0.1,3,1,rbf,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'rbf'}",-0.0017037094486221664,-0.0004221040085445944,-0.0001042212886389663,-9.051001127435287e-05,-0.0001221145973590155,-7.663909047788497e-05,-0.000142690182982542,-0.00016521570603175964,-0.0011667766373083263,-0.013033069248079693,-0.0017027050219319301,0.00381311568000374,413
31,0.00041661262512207033,9.935020913407299e-05,0.00027606487274169924,1.0410158962472278e-05,0.1,3,1,sigmoid,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'sigmoid'}",-0.0017037094486221664,-0.0003618511489517243,-7.052601262551605e-05,-4.310666940456719e-05,-7.737952384613195e-05,-3.451595705147702e-05,-9.373145710675543e-05,-0.00011504453962984248,-0.0010933424707860364,-0.012958815041716875,-0.001655202226974109,0.0038052455234705886,356
32,0.00034852027893066405,5.013969360549242e-05,0.0002665996551513672,5.764407075257084e-06,0.1,3,0.0,linear,"{'C': 0.1, 'degree': 3, 'gamma': 0.0, 'kernel': 'linear'}",-0.0017037094486221664,-0.00037765592259086326,-7.548277872856662e-05,-5.060274477742704e-05,-8.425934412318106e-05,-4.092935856305156e-05,-0.00010233579201088768,-0.00012288671557693202,-0.001102006045806235,-0.012874079610194062,-0.0016533947760993372,0.003777658759811352,90
33,0.00035457611083984376,5.937319641864982e-05,0.00026884078979492185,8.426806784166574e-06,0.1,3,0.0,poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.0, 'kernel': 'poly'}",-0.0017037094486221664,-0.0003618511494458423,-7.052601314120703e-05,-4.310667028072755e-05,-7.737952466805751e-05,-3.451595781346697e-05,-9.373145792579311e-05,-0.00011504454059565508,-0.0010933424723927236,-0.012958815028868219,-0.0016552022263753858,0.0038052455194155046,236
34,0.00037453174591064455,6.68613821539173e-05,0.00027647018432617185,7.992678390410218e-06,0.1,3,0.0,rbf,"{'C': 0.1, 'degree': 3, 'gamma': 0.0, 'kernel': 'rbf'}",-0.0017037094486221664,-0.0003618511494458423,-7.052601314120703e-05,-4.310667028072755e-05,-7.737952466805751e-05,-3.451595781346697e-05,-9.373145792579311e-05,-0.00011504454059565508,-0.0010933424723927236,-0.012958815028868219,-0.0016552022263753858,0.0038052455194155046,236
