,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_feed_forward,params_hidden_layer_dim,params_input_chunk_length,params_lr,params_num_attention_heads,params_num_lstm_layers,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
10,10,0.012178067117929459,2024-08-06 17:46:20.629822,2024-08-06 17:51:12.277470,0 days 00:04:51.647648,256,0.05,1000,SwiGLU,128,30,1e-05,5,4,adam,1,10,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
11,11,0.012158460915088654,2024-08-06 17:51:12.278281,2024-08-06 17:55:29.627347,0 days 00:04:17.349066,256,0.1,1000,GELU,128,30,1e-05,3,2,adam,1,11,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
12,12,0.012048959732055664,2024-08-06 17:55:29.628135,2024-08-06 17:58:15.001853,0 days 00:02:45.373718,256,0.0,1000,Bilinear,128,30,0.0001,5,5,adam,1,12,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
13,13,0.01222406979650259,2024-08-06 17:58:15.002683,2024-08-06 18:01:40.575643,0 days 00:03:25.572960,256,0.1,1000,GELU,128,30,0.001,3,4,adam,1,13,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
14,14,0.012203318998217583,2024-08-06 18:01:40.576462,2024-08-06 18:03:42.650625,0 days 00:02:02.074163,256,0.05,1000,GELU,32,30,1e-05,5,2,adam,1,14,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
15,15,0.012390616349875927,2024-08-06 18:03:42.651433,2024-08-06 18:08:48.367661,0 days 00:05:05.716228,256,0.1,1000,GELU,64,30,0.0001,3,2,adam,1,15,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
16,16,0.012152986600995064,2024-08-06 18:08:48.368464,2024-08-06 18:11:30.330174,0 days 00:02:41.961710,256,0.0,1000,ReLU,64,30,0.001,7,3,adam,1,16,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
17,17,0.012299616821110249,2024-08-06 18:11:30.330953,2024-08-06 18:15:56.413952,0 days 00:04:26.082999,256,0.1,1000,ReGLU,128,30,0.001,2,2,adam,1,17,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
18,18,0.012059396132826805,2024-08-06 18:15:56.414779,2024-08-06 18:18:46.198205,0 days 00:02:49.783426,256,0.1,1000,ReLU,128,30,0.001,5,4,adam,1,18,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
19,19,0.012162244878709316,2024-08-06 18:18:46.199008,2024-08-06 18:21:31.521749,0 days 00:02:45.322741,256,0.05,1000,GEGLU,128,30,0.0001,2,3,adam,1,19,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
20,20,0.012127483263611794,2024-08-06 18:21:31.522557,2024-08-06 18:24:00.168775,0 days 00:02:28.646218,256,0.05,1000,SwiGLU,128,30,0.001,5,5,adam,1,20,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
21,21,0.012072817422449589,2024-08-06 18:24:00.169600,2024-08-06 18:26:23.936800,0 days 00:02:23.767200,256,0.05,1000,GLU,64,30,0.001,5,5,adam,1,21,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
