round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
1000,0.0029984305147081614,0.0029984305147081614,0.027138130739331245,0.003407459007576108,0.003407459007576108,0.026506533846259117,100,relu,100,relu,256,200,20,adam,0.001
626,0.0030183973722159863,0.0030183973722159863,0.02722596377134323,0.0033924372401088476,0.0033924372401088476,0.026490649208426476,75,relu,16,relu,256,200,20,adam,0.001
1000,0.011151406913995743,0.011151406913995743,0.09614555537700653,0.012190556153655052,0.012190556153655052,0.09783579409122467,75,relu,64,relu,256,200,20,rmsprop,0.0001
563,0.0029885228723287582,0.0029885228723287582,0.027112917974591255,0.003429307835176587,0.003429307835176587,0.026623371988534927,100,relu,64,relu,256,200,20,adam,1e-05
114,0.0030244532972574234,0.0030244532972574234,0.02731919288635254,0.0034034319687634706,0.0034034319687634706,0.026742737740278244,50,relu,100,relu,256,200,20,rmsprop,0.001
538,0.002993155736476183,0.002993155736476183,0.02716449834406376,0.003424211172387004,0.003424211172387004,0.026533659547567368,100,relu,32,relu,256,200,20,nadam,0.001
341,0.003007305786013603,0.003007305786013603,0.02721739374101162,0.0034326829481869936,0.0034326829481869936,0.026749387383461,100,relu,16,relu,256,200,20,nadam,0.001
942,0.00297553651034832,0.00297553651034832,0.027016956359148026,0.0033823936246335506,0.0033823936246335506,0.02640312910079956,75,relu,64,relu,256,200,20,adam,0.0001
129,0.0029960579704493284,0.0029960579704493284,0.027036212384700775,0.003377740504220128,0.003377740504220128,0.026408929377794266,100,relu,16,relu,256,200,20,rmsprop,0.0001
1000,0.0029837898910045624,0.0029837898910045624,0.027046039700508118,0.0034012985415756702,0.0034012985415756702,0.026429293677210808,50,relu,64,relu,256,200,20,adam,1e-05
119,0.0029935440979897976,0.0029935440979897976,0.026966523379087448,0.0033563438337296247,0.0033563438337296247,0.02627945877611637,50,relu,32,relu,256,200,20,adam,0.0001
104,0.0030031355563551188,0.0030031355563551188,0.027065636590123177,0.0033939972054213285,0.0033939972054213285,0.026488719508051872,75,relu,32,relu,256,200,20,rmsprop,0.001
660,0.003018824616447091,0.003018824616447091,0.027288660407066345,0.00344010628759861,0.00344010628759861,0.026761122047901154,75,relu,16,relu,256,200,20,nadam,0.0001
781,0.0029756443109363317,0.0029756443109363317,0.026957495138049126,0.003366151824593544,0.003366151824593544,0.02641923725605011,75,relu,16,relu,256,200,20,nadam,1e-05
132,0.0030117505230009556,0.0030117505230009556,0.027180679142475128,0.003417741972953081,0.003417741972953081,0.026648107916116714,100,relu,16,relu,256,200,20,adam,1e-05
290,0.0030045285820961,0.0030045285820961,0.027133559808135033,0.003386802738532424,0.003386802738532424,0.026478605344891548,50,relu,64,relu,256,200,20,nadam,0.0001
806,0.002976659219712019,0.002976659219712019,0.02708117663860321,0.00339548964984715,0.00339548964984715,0.026517627760767937,50,relu,16,relu,256,200,20,adam,0.0001
308,0.0029880967922508717,0.0029880967922508717,0.027054056525230408,0.0034166823606938124,0.0034166823606938124,0.026585185900330544,100,relu,32,relu,256,200,20,adam,0.001
780,0.0029685802292078733,0.0029685802292078733,0.027028268203139305,0.0033958505373448133,0.0033958505373448133,0.02645917795598507,50,relu,32,relu,256,200,20,rmsprop,1e-05
490,0.0029646744951605797,0.0029646744951605797,0.026997162029147148,0.0033909606281667948,0.0033909606281667948,0.026590436697006226,100,relu,16,relu,256,200,20,nadam,0.0001
162,0.003002951154485345,0.003002951154485345,0.02726163901388645,0.0033993804827332497,0.0033993804827332497,0.02673071250319481,75,relu,100,relu,256,200,20,rmsprop,0.001
127,0.0029820771887898445,0.0029820771887898445,0.026900356635451317,0.0033488713670521975,0.0033488713670521975,0.026275411248207092,100,relu,32,relu,256,200,20,adam,1e-05
752,0.003017307259142399,0.003017307259142399,0.02732894755899906,0.0034782683942466974,0.0034782683942466974,0.026639245450496674,75,relu,100,relu,256,200,20,adam,0.0001
1000,0.0029704344924539328,0.0029704344924539328,0.027007972821593285,0.003391750855371356,0.003391750855371356,0.02641218900680542,50,relu,16,relu,256,200,20,nadam,1e-05
141,0.0030149384401738644,0.0030149384401738644,0.02717861905694008,0.0033910952042788267,0.0033910952042788267,0.026529045775532722,100,relu,64,relu,256,200,20,nadam,1e-05
590,0.0029816667083650827,0.0029816667083650827,0.027050210162997246,0.003409858327358961,0.003409858327358961,0.02651999145746231,50,relu,100,relu,256,200,20,nadam,1e-05
728,0.002987826243042946,0.002987826243042946,0.027131974697113037,0.003432036843150854,0.003432036843150854,0.026626354083418846,50,relu,64,relu,256,200,20,adam,0.0001
683,0.0030236600432544947,0.0030236600432544947,0.027287937700748444,0.003429340198636055,0.003429340198636055,0.026639947667717934,75,relu,32,relu,256,200,20,adam,1e-05
604,0.002987350570037961,0.002987350570037961,0.027027538046240807,0.0033927762415260077,0.0033927762415260077,0.026450153440237045,100,relu,16,relu,256,200,20,nadam,1e-05
643,0.0029778555035591125,0.0029778555035591125,0.027070466428995132,0.003410948207601905,0.003410948207601905,0.026512062177062035,50,relu,16,relu,256,200,20,rmsprop,0.001
270,0.0029855973552912474,0.0029855973552912474,0.027022292837500572,0.003391256323084235,0.003391256323084235,0.026451826095581055,100,relu,16,relu,256,200,20,adam,0.001
1000,0.0030216933228075504,0.0030216933228075504,0.0272376649081707,0.0034206153359264135,0.0034206153359264135,0.026541896164417267,75,relu,64,relu,256,200,20,adam,0.001
