round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
57,0.004165066871792078,0.004165066871792078,0.04507364705204964,0.0023649740032851696,0.0023649740032851696,0.020385583862662315,64,16,relu,8,0.1,64,relu,256,1000,50,adam,0.001
71,0.004522289615124464,0.004522289615124464,0.047971345484256744,0.0021048195194453,0.0021048195194453,0.01803121715784073,32,8,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
84,0.003596029244363308,0.003596029244363308,0.041240811347961426,0.002200666582211852,0.002200666582211852,0.018044909462332726,32,4,relu,1,0.0,64,relu,256,1000,50,adam,0.0001
68,0.003671470796689391,0.003671470796689391,0.042625851929187775,0.002200916176661849,0.002200916176661849,0.01872965879738331,64,16,relu,4,0.1,64,relu,256,1000,50,adam,1e-05
62,0.004382728599011898,0.004382728599011898,0.047209180891513824,0.0021978686563670635,0.0021978686563670635,0.01820732280611992,32,16,relu,4,0.0,32,relu,256,1000,50,adam,0.001
105,0.0029333282727748156,0.0029333282727748156,0.03623061254620552,0.0021695259492844343,0.0021695259492844343,0.018489595502614975,32,16,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
115,0.002860908629372716,0.002860908629372716,0.03433309495449066,0.0021351457107812166,0.0021351457107812166,0.017870279029011726,32,16,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
71,0.0038130944594740868,0.0038130944594740868,0.04192900285124779,0.002067443449050188,0.002067443449050188,0.017982352524995804,16,4,relu,1,0.05,32,relu,256,1000,50,adam,0.001
72,0.003752551507204771,0.003752551507204771,0.04218613728880882,0.002155125606805086,0.002155125606805086,0.017906256020069122,64,16,relu,8,0.1,32,relu,256,1000,50,adam,1e-05
73,0.0039007498417049646,0.0039007498417049646,0.042622048407793045,0.0020983563736081123,0.0020983563736081123,0.018600858747959137,64,16,relu,8,0.05,32,relu,256,1000,50,adam,0.001
164,0.002543146489188075,0.002543146489188075,0.032079581171274185,0.0022633320186287165,0.0022633320186287165,0.019573640078306198,16,8,relu,4,0.05,32,relu,256,1000,50,adam,0.001
196,0.0025539137423038483,0.0025539137423038483,0.0325881764292717,0.0022858025040477514,0.0022858025040477514,0.018109483644366264,32,8,relu,8,0.0,64,relu,256,1000,50,adam,0.0001
68,0.005312394816428423,0.005312394816428423,0.05174208804965019,0.0021282953675836325,0.0021282953675836325,0.018272675573825836,16,8,relu,4,0.0,32,relu,256,1000,50,adam,0.0001
100,0.003305200021713972,0.003305200021713972,0.03851112350821495,0.0022229389287531376,0.0022229389287531376,0.01886538788676262,32,8,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
66,0.004314216785132885,0.004314216785132885,0.04610366001725197,0.002170596271753311,0.002170596271753311,0.018168721348047256,32,4,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
124,0.0026507971342653036,0.0026507971342653036,0.03259947523474693,0.002161472337320447,0.002161472337320447,0.018811892718076706,16,8,relu,4,0.1,32,relu,256,1000,50,adam,0.0001
67,0.0037379502318799496,0.0037379502318799496,0.04292741417884827,0.002229386940598488,0.002229386940598488,0.01934337615966797,16,8,relu,4,0.1,64,relu,256,1000,50,adam,0.001
62,0.00427397433668375,0.00427397433668375,0.04685625061392784,0.002166202524676919,0.002166202524676919,0.018706532195210457,16,4,relu,8,0.0,32,relu,256,1000,50,adam,0.0001
61,0.003942558541893959,0.003942558541893959,0.04391910508275032,0.0022408918011933565,0.0022408918011933565,0.022227372974157333,16,16,relu,1,0.0,64,relu,256,1000,50,adam,0.0001
68,0.003781699575483799,0.003781699575483799,0.04411887750029564,0.002124325605109334,0.002124325605109334,0.01800231821835041,64,8,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
70,0.004074010998010635,0.004074010998010635,0.044962819665670395,0.002415740629658103,0.002415740629658103,0.023346170783042908,64,16,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
433,0.0022048568353056908,0.0022048568353056908,0.027829419821500778,0.002182470401749015,0.002182470401749015,0.01831049658358097,32,8,relu,4,0.1,64,relu,256,1000,50,adam,0.001
73,0.003969459794461727,0.003969459794461727,0.04504675418138504,0.0021834420040249825,0.0021834420040249825,0.018089497461915016,16,8,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
333,0.0022843284532427788,0.0022843284532427788,0.029282469302415848,0.0021834273356944323,0.0021834273356944323,0.01850450411438942,64,16,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
73,0.003977235872298479,0.003977235872298479,0.04417058825492859,0.002251897705718875,0.002251897705718875,0.021615151315927505,16,8,relu,8,0.05,64,relu,256,1000,50,adam,0.0001
101,0.003130708821117878,0.003130708821117878,0.03629865497350693,0.0021555875428020954,0.0021555875428020954,0.018263982608914375,64,4,relu,8,0.05,32,relu,256,1000,50,adam,1e-05
249,0.0026801200583577156,0.0026801200583577156,0.033621929585933685,0.0021712523885071278,0.0021712523885071278,0.01795952394604683,32,4,relu,8,0.1,32,relu,256,1000,50,adam,1e-05
58,0.004180610179901123,0.004180610179901123,0.044347211718559265,0.0021789041347801685,0.0021789041347801685,0.018278341740369797,32,16,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
62,0.00432226900011301,0.00432226900011301,0.045837726444005966,0.0025174138136208057,0.0025174138136208057,0.026275048032402992,16,16,relu,8,0.0,32,relu,256,1000,50,adam,1e-05
169,0.0026685171760618687,0.0026685174088925123,0.03264465183019638,0.002046700334176421,0.002046700334176421,0.017743520438671112,64,16,relu,1,0.0,32,relu,256,1000,50,adam,0.001
65,0.0051871673204004765,0.0051871673204004765,0.05080648884177208,0.0023739999160170555,0.0023739999160170555,0.023405246436595917,32,16,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
57,0.0042925733141601086,0.0042925733141601086,0.047089677304029465,0.0020499383099377155,0.0020499383099377155,0.017646754160523415,16,16,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
106,0.0032325151842087507,0.0032325151842087507,0.03704693913459778,0.002212325343862176,0.002212325343862176,0.018059086054563522,32,8,relu,1,0.05,32,relu,256,1000,50,adam,0.0001
74,0.0037273771595209837,0.0037273771595209837,0.04259415343403816,0.0021584394853562117,0.0021584394853562117,0.018375465646386147,32,16,relu,8,0.0,64,relu,256,1000,50,adam,0.001
67,0.0035423326771706343,0.0035423326771706343,0.04151925817131996,0.0021381075493991375,0.0021381075493991375,0.017410846427083015,16,16,relu,8,0.1,32,relu,256,1000,50,adam,1e-05
237,0.002597053535282612,0.002597053535282612,0.03200240060687065,0.002323741326108575,0.002323741326108575,0.018397493287920952,32,4,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
146,0.003301005344837904,0.003301005344837904,0.03710102662444115,0.002144723432138562,0.002144723432138562,0.018025249242782593,64,16,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
126,0.002891231095418334,0.002891231095418334,0.03560284897685051,0.0021496599074453115,0.0021496599074453115,0.01777685061097145,64,8,relu,1,0.0,64,relu,256,1000,50,adam,0.001
60,0.004605376161634922,0.004605376161634922,0.048714395612478256,0.002076883800327778,0.002076883800327778,0.018484322354197502,16,8,relu,4,0.1,32,relu,256,1000,50,adam,0.001
131,0.0030605813954025507,0.0030605813954025507,0.036992888897657394,0.0022405427880585194,0.0022405427880585194,0.018110908567905426,16,16,relu,1,0.0,64,relu,256,1000,50,adam,0.001
136,0.0029667948838323355,0.0029667948838323355,0.034963566809892654,0.0022253168281167746,0.0022253168281167746,0.01788181997835636,32,16,relu,4,0.1,32,relu,256,1000,50,adam,1e-05
142,0.0029919068329036236,0.0029919068329036236,0.03617304563522339,0.002195007400587201,0.002195007400587201,0.018119120970368385,64,4,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
62,0.0046652527526021,0.0046652527526021,0.04932720214128494,0.002190731931477785,0.002190731931477785,0.018275609239935875,16,4,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
70,0.004125331528484821,0.004125331528484821,0.04454532265663147,0.0021340285893529654,0.0021340285893529654,0.017896724864840508,64,16,relu,1,0.0,64,relu,256,1000,50,adam,0.001
70,0.004279501736164093,0.004279501736164093,0.04638362675905228,0.0022613864857703447,0.0022613864857703447,0.018852952867746353,16,16,relu,1,0.1,32,relu,256,1000,50,adam,0.001
69,0.003922617062926292,0.003922617062926292,0.04236634820699692,0.002217190572991967,0.002217190572991967,0.01955905184149742,64,4,relu,1,0.1,64,relu,256,1000,50,adam,1e-05
240,0.002816038206219673,0.002816038206219673,0.03340675309300423,0.0022549922578036785,0.0022549922578036785,0.01958993636071682,16,8,relu,1,0.0,32,relu,256,1000,50,adam,0.001
62,0.0038140525575727224,0.0038140525575727224,0.04418919235467911,0.0022075262386351824,0.0022075262386351824,0.01960531622171402,16,8,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
130,0.003053128020837903,0.003053128020837903,0.035363275557756424,0.002201375551521778,0.002201375551521778,0.018313229084014893,32,8,relu,1,0.1,64,relu,256,1000,50,adam,1e-05
197,0.0024775899946689606,0.0024775899946689606,0.030408388003706932,0.00215077493339777,0.00215077493339777,0.01801842823624611,64,16,relu,1,0.05,32,relu,256,1000,50,adam,0.0001
140,0.0028629074804484844,0.0028629074804484844,0.03441965952515602,0.0021873842924833298,0.0021873842924833298,0.018234116956591606,16,16,relu,4,0.0,64,relu,256,1000,50,adam,0.001
62,0.004675836768001318,0.004675836768001318,0.049150243401527405,0.0022917985916137695,0.0022917985916137695,0.018704628571867943,64,4,relu,4,0.0,32,relu,256,1000,50,adam,0.001
114,0.002878169994801283,0.002878169994801283,0.033819761127233505,0.0021615491714328527,0.0021615491714328527,0.018210723996162415,32,8,relu,4,0.0,64,relu,256,1000,50,adam,0.001
111,0.002995855640619993,0.002995855640619993,0.03663012385368347,0.002159370807930827,0.002159370807930827,0.018035493791103363,64,4,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
144,0.0030717728659510612,0.0030717728659510612,0.036372482776641846,0.002209302270784974,0.002209302270784974,0.017790744081139565,32,8,relu,8,0.05,64,relu,256,1000,50,adam,1e-05
64,0.004022587090730667,0.004022587090730667,0.04371118173003197,0.0022205032873898745,0.0022205032873898745,0.01821746490895748,16,16,relu,4,0.1,64,relu,256,1000,50,adam,1e-05
106,0.002932925708591938,0.002932925708591938,0.035353656858205795,0.00219932128675282,0.00219932128675282,0.0185686144977808,64,16,relu,1,0.05,64,relu,256,1000,50,adam,0.001
71,0.004471661057323217,0.004471661057323217,0.04765075072646141,0.0023017406929284334,0.0023017406929284334,0.018579907715320587,32,16,relu,4,0.05,32,relu,256,1000,50,adam,1e-05
62,0.003938848152756691,0.003938848152756691,0.04330843687057495,0.0022354326210916042,0.0022354326210916042,0.018332473933696747,16,4,relu,4,0.0,64,relu,256,1000,50,adam,0.001
61,0.004708728287369013,0.004708728287369013,0.04978989437222481,0.002097291871905327,0.002097291871905327,0.018081657588481903,32,16,relu,1,0.0,32,relu,256,1000,50,adam,0.001
163,0.002868224401026964,0.002868224401026964,0.034871216863393784,0.002145768143236637,0.002145768143236637,0.01768842525780201,16,8,relu,1,0.0,64,relu,256,1000,50,adam,0.0001
418,0.0021588061936199665,0.0021588061936199665,0.028308359906077385,0.002202213741838932,0.002202213741838932,0.018674274906516075,32,8,relu,8,0.0,32,relu,256,1000,50,adam,0.001
183,0.0025804738979786634,0.0025804738979786634,0.03288194537162781,0.0021354921627789736,0.0021354921627789736,0.01945045031607151,64,4,relu,4,0.1,32,relu,256,1000,50,adam,0.001
74,0.00395560497418046,0.00395560497418046,0.04400584101676941,0.0021915307734161615,0.0021915307734161615,0.018415937200188637,32,16,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
69,0.00407107500359416,0.00407107500359416,0.043707795441150665,0.0021517190616577864,0.0021517190616577864,0.01841951347887516,64,8,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
67,0.004222090821713209,0.004222090821713209,0.04527570307254791,0.002168467966839671,0.002168467966839671,0.01811261847615242,32,8,relu,1,0.05,64,relu,256,1000,50,adam,1e-05
64,0.004611633252352476,0.004611633252352476,0.04865870624780655,0.002341101411730051,0.002341101411730051,0.02324911765754223,64,16,relu,8,0.05,64,relu,256,1000,50,adam,0.001
109,0.003275712253525853,0.003275712253525853,0.03812617063522339,0.002078272635117173,0.002078272635117173,0.01829463802278042,64,16,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
131,0.0029476096387952566,0.0029476096387952566,0.035659123212099075,0.0023342478089034557,0.0023342478089034557,0.020064139738678932,64,4,relu,4,0.05,64,relu,256,1000,50,adam,1e-05
169,0.0026667299680411816,0.0026667299680411816,0.03234171122312546,0.0021332879550755024,0.0021332879550755024,0.01803933084011078,64,4,relu,4,0.0,32,relu,256,1000,50,adam,0.0001
