round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
137,0.003916742280125618,0.003916742280125618,0.04529600590467453,0.0011939267860725522,0.0011939267860725522,0.015788134187459946,32,8,relu,4,0.1,32,relu,256,1000,50,adam,1e-05
82,0.004744505509734154,0.004744505509734154,0.050345517694950104,0.0013409355888143182,0.0013409355888143182,0.021498819813132286,16,4,relu,8,0.05,32,relu,256,1000,50,adam,0.0001
136,0.003256243886426091,0.003256243886426091,0.04078180342912674,0.0011982615105807781,0.0011982615105807781,0.015399282798171043,32,8,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
66,0.005636610556393862,0.005636610556393862,0.05698481947183609,0.0012341312831267715,0.0012341312831267715,0.017094764858484268,32,4,relu,1,0.0,64,relu,256,1000,50,adam,0.001
166,0.002768510254099965,0.002768510254099965,0.03671780973672867,0.001238000113517046,0.001238000113517046,0.016334649175405502,32,4,relu,4,0.1,32,relu,256,1000,50,adam,1e-05
106,0.003891992149874568,0.003891992149874568,0.043858852237463,0.0011887481668964028,0.0011887481668964028,0.016052328050136566,32,16,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
73,0.004964158404618502,0.004964158404618502,0.052773602306842804,0.0011564523447304964,0.0011564523447304964,0.015258579514920712,16,16,relu,1,0.1,32,relu,256,1000,50,adam,0.001
64,0.006166046019643545,0.006166046019643545,0.0611562617123127,0.0013921111822128296,0.0013921111822128296,0.023961063474416733,32,4,relu,8,0.05,32,relu,256,1000,50,adam,0.0001
121,0.003464849665760994,0.003464849665760994,0.043120067566633224,0.0013615692732855678,0.0013615692732855678,0.020390251651406288,32,16,relu,4,0.05,64,relu,256,1000,50,adam,0.001
74,0.004635679069906473,0.004635679069906473,0.05001860111951828,0.0011901839170604944,0.0011901839170604944,0.016071155667304993,32,8,relu,4,0.0,32,relu,256,1000,50,adam,1e-05
204,0.002763189608231187,0.002763189608231187,0.0364752896130085,0.0011635014088824391,0.0011635014088824391,0.01608412154018879,32,16,relu,1,0.05,64,relu,256,1000,50,adam,0.001
143,0.0036124377511441708,0.0036124377511441708,0.043652355670928955,0.0012181695783510804,0.0012181695783510804,0.016107657924294472,32,4,relu,4,0.0,32,relu,256,1000,50,adam,0.001
163,0.002787430305033922,0.002787430305033922,0.03715311363339424,0.0011880610836669803,0.0011880610836669803,0.01541710551828146,16,8,relu,1,0.05,32,relu,256,1000,50,adam,0.0001
131,0.0035017526242882013,0.0035017526242882013,0.04165246710181236,0.001204548287205398,0.001204548287205398,0.015628015622496605,16,4,relu,1,0.05,32,relu,256,1000,50,adam,1e-05
87,0.0041489736177027225,0.0041489736177027225,0.04801950976252556,0.0011096277739852667,0.0011096277739852667,0.01534389890730381,64,16,relu,8,0.05,32,relu,256,1000,50,adam,0.001
147,0.0035220433492213488,0.0035220433492213488,0.04360143095254898,0.0011947005987167358,0.0011947005987167358,0.015732811763882637,16,16,relu,4,0.1,64,relu,256,1000,50,adam,1e-05
60,0.005338175222277641,0.005338175222277641,0.05442593991756439,0.001324014738202095,0.001324014738202095,0.02272334322333336,64,16,relu,1,0.05,64,relu,256,1000,50,adam,1e-05
190,0.0025290981866419315,0.0025290981866419315,0.03512435778975487,0.001227908069267869,0.001227908069267869,0.015564526431262493,32,4,relu,4,0.05,64,relu,256,1000,50,adam,0.001
174,0.003530132584273815,0.003530132584273815,0.042410314083099365,0.0012065524933859706,0.0012065524933859706,0.017133120447397232,16,8,relu,1,0.1,32,relu,256,1000,50,adam,1e-05
136,0.0038809706456959248,0.0038809706456959248,0.04496781900525093,0.0012426419416442513,0.0012426419416442513,0.015805037692189217,16,16,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
128,0.0037558432668447495,0.0037558432668447495,0.04394744709134102,0.0011811290169134736,0.0011811290169134736,0.01608850061893463,32,8,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
212,0.0030248789116740227,0.0030248789116740227,0.03834556043148041,0.001232258160598576,0.001232258160598576,0.015616599470376968,16,16,relu,4,0.05,64,relu,256,1000,50,adam,0.001
225,0.002493354957550764,0.002493354957550764,0.03423501178622246,0.0012046900810673833,0.0012046900810673833,0.015198890119791031,64,8,relu,1,0.05,32,relu,256,1000,50,adam,0.001
169,0.0032666970510035753,0.0032666970510035753,0.040535472333431244,0.0011384447570890188,0.0011384447570890188,0.015040596947073936,32,16,relu,1,0.0,32,relu,256,1000,50,adam,1e-05
151,0.0027603632770478725,0.0027603632770478725,0.03708268329501152,0.0012407309841364622,0.0012407309841364622,0.015522543340921402,32,8,relu,1,0.0,64,relu,256,1000,50,adam,0.001
126,0.003535616211593151,0.003535616211593151,0.04329570382833481,0.001266848063096404,0.001266848063096404,0.01732504554092884,32,8,relu,4,0.0,64,relu,256,1000,50,adam,0.001
71,0.005499763879925013,0.005499763879925013,0.055754318833351135,0.001287970575504005,0.001287970575504005,0.020593266934156418,64,8,relu,1,0.05,32,relu,256,1000,50,adam,0.0001
217,0.0027755186893045902,0.0027755186893045902,0.03762800619006157,0.0012114609126001596,0.0012114609126001596,0.01563875935971737,16,4,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
142,0.0033133116085082293,0.0033133116085082293,0.04039792716503143,0.0011507325107231736,0.0011507325107231736,0.015109540894627571,32,4,relu,8,0.1,64,relu,256,1000,50,adam,0.001
80,0.005754403304308653,0.005754403304308653,0.057882972061634064,0.0012439190177246928,0.0012439190177246928,0.015756836161017418,16,4,relu,1,0.0,32,relu,256,1000,50,adam,0.001
