round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
317,0.0017179520800709724,0.0017179520800709724,0.026621107012033463,0.001262666773982346,0.001262666773982346,0.019193869084119797,32,8,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
68,0.0033666000235825777,0.0033666000235825777,0.041739217936992645,0.0013564607361331582,0.0013564607361331582,0.019521767273545265,64,4,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
351,0.0016928468830883503,0.0016928468830883503,0.025936974212527275,0.001226250664331019,0.001226250664331019,0.019367286935448647,16,16,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
81,0.003814113326370716,0.003814113326370716,0.046110011637210846,0.0013354920083656907,0.0013354920083656907,0.01946227438747883,16,16,relu,1,0.0,32,relu,256,1000,50,adam,0.001
128,0.002379758283495903,0.002379758283495903,0.034193556755781174,0.0013592581963166595,0.0013592581963166595,0.019588585942983627,16,4,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
67,0.003819469828158617,0.003819469828158617,0.04509976878762245,0.001379805151373148,0.001379805151373148,0.01966039650142193,64,16,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
382,0.0016286777099594474,0.0016286777099594474,0.02604200690984726,0.001293639768846333,0.001293639768846333,0.020082561299204826,64,16,relu,1,0.0,64,relu,256,1000,50,adam,0.0001
203,0.002095535397529602,0.002095535397529602,0.030499933287501335,0.0013106191763654351,0.0013106191763654351,0.01960042305290699,16,8,relu,1,0.05,32,relu,256,1000,50,adam,0.0001
183,0.00222218525595963,0.00222218525595963,0.03128582611680031,0.0013404027558863163,0.0013404027558863163,0.01917290687561035,32,8,relu,1,0.0,32,relu,256,1000,50,adam,0.001
288,0.0016860879259184003,0.0016860879259184003,0.026745399460196495,0.0013514767633751035,0.0013514767633751035,0.019564615562558174,16,4,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
102,0.002278741216287017,0.002278741216287017,0.03239438310265541,0.0013039135374128819,0.0013039135374128819,0.019575512036681175,64,4,relu,4,0.05,32,relu,256,1000,50,adam,0.001
491,0.0016361336456611753,0.0016361336456611753,0.025996876880526543,0.0012842877767980099,0.0012842877767980099,0.02036757580935955,16,8,relu,8,0.05,32,relu,256,1000,50,adam,0.001
245,0.001852751593105495,0.001852751593105495,0.028251778334379196,0.001326907193288207,0.001326907193288207,0.019370010122656822,64,8,relu,1,0.1,64,relu,256,1000,50,adam,0.001
532,0.0014901254326105118,0.0014901254326105118,0.02413516864180565,0.0012714453041553497,0.0012714453041553497,0.020045360550284386,64,8,relu,8,0.05,32,relu,256,1000,50,adam,0.001
447,0.0016152265015989542,0.0016152265015989542,0.02510780654847622,0.0012852530926465988,0.0012852530926465988,0.020219380035996437,64,4,relu,1,0.0,32,relu,256,1000,50,adam,1e-05
484,0.0015963685000315309,0.0015963685000315309,0.025082258507609367,0.0012345502618700266,0.0012345502618700266,0.019883759319782257,32,16,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
