round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
165,0.0012638322077691555,0.0012638322077691555,0.01530742458999157,0.002567596035078168,0.002567596035078168,0.01861180178821087,100,relu,64,relu,256,200,20,nadam,1e-05
146,0.0012831664644181728,0.0012831664644181728,0.015398713760077953,0.002616315381601453,0.002616315381601453,0.01876590959727764,100,relu,100,relu,256,200,20,adam,1e-05
1000,0.04335150122642517,0.04335150122642517,0.20554453134536743,0.04278319701552391,0.04278319701552391,0.20365630090236664,100,relu,100,relu,256,200,20,rmsprop,1e-05
144,0.0012544061755761504,0.0012544061755761504,0.015275061130523682,0.00261509302072227,0.00261509302072227,0.018603064119815826,75,relu,16,relu,256,200,20,adam,1e-05
123,0.0012720192316919565,0.0012720192316919565,0.015304269269108772,0.002588776871562004,0.002588776871562004,0.01861025020480156,75,relu,32,relu,256,200,20,nadam,0.001
289,0.0012454537209123373,0.0012454537209123373,0.015125889331102371,0.002642414765432477,0.002642414765432477,0.01850786618888378,75,relu,100,relu,256,200,20,nadam,0.0001
130,0.001282785669900477,0.001282785669900477,0.015434474684298038,0.0026363313663750887,0.0026363313663750887,0.01889169216156006,50,relu,16,relu,256,200,20,nadam,1e-05
128,0.0012118291342630982,0.0012118291342630982,0.01505153626203537,0.0026025271508842707,0.0026025271508842707,0.018260816112160683,50,relu,64,relu,256,200,20,rmsprop,1e-05
131,0.0012562714982777834,0.0012562714982777834,0.015275819227099419,0.0025734747759997845,0.0025734747759997845,0.01849982887506485,100,relu,32,relu,256,200,20,adam,0.001
151,0.001238328986801207,0.001238328986801207,0.015254342928528786,0.00261515099555254,0.00261515099555254,0.018478870391845703,100,relu,100,relu,256,200,20,rmsprop,0.001
108,0.0013074659509584308,0.0013074659509584308,0.015579836443066597,0.0026409460697323084,0.0026409460697323084,0.019076667726039886,75,relu,32,relu,256,200,20,rmsprop,0.0001
