round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
725,0.001768335816450417,0.001768335816450417,0.028737924993038177,0.0025601396337151527,0.0025601396337151527,0.024137921631336212,32,4,relu,1,0.1,64,relu,256,1000,50,adam,0.0001
136,0.0030490043573081493,0.0030490043573081493,0.03996012732386589,0.002818893874064088,0.002818893874064088,0.025385504588484764,64,16,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
112,0.0036350302398204803,0.0036350302398204803,0.04379132390022278,0.002784209093078971,0.002784209093078971,0.025322331115603447,16,4,relu,1,0.05,32,relu,256,1000,50,adam,0.001
643,0.002163065131753683,0.002163065131753683,0.03199779614806175,0.0025851463433355093,0.0025851463433355093,0.023756545037031174,16,16,relu,8,0.0,32,relu,256,1000,50,adam,0.0001
406,0.0020774533040821552,0.0020774533040821552,0.03148248419165611,0.002662534825503826,0.002662534825503826,0.024573739618062973,32,16,relu,4,0.0,32,relu,256,1000,50,adam,0.0001
216,0.002524192212149501,0.002524192212149501,0.034422241151332855,0.002748337807133794,0.002748337807133794,0.024774303659796715,64,16,relu,8,0.0,32,relu,256,1000,50,adam,0.0001
456,0.0019905916415154934,0.0019905916415154934,0.03160402551293373,0.0025887624360620975,0.0025887624360620975,0.02402166835963726,64,8,relu,8,0.0,32,relu,256,1000,50,adam,0.0001
492,0.002081784186884761,0.002081784186884761,0.031603798270225525,0.0025795516557991505,0.0025795516557991505,0.023801401257514954,64,16,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
586,0.0017992652719840407,0.0017992652719840407,0.029031338170170784,0.002590402029454708,0.002590402029454708,0.02412201650440693,32,4,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
66,0.004902101121842861,0.004902101121842861,0.0524139404296875,0.002766985911875963,0.002766985911875963,0.02550607919692993,32,16,relu,8,0.05,32,relu,256,1000,50,adam,0.001
484,0.001904778997413814,0.001904778997413814,0.030627822503447533,0.0026149828918278217,0.0026149828918278217,0.02406105399131775,32,16,relu,4,0.05,64,relu,256,1000,50,adam,0.001
509,0.0018240032950416207,0.0018240032950416207,0.02974405512213707,0.002634081756696105,0.002634081756696105,0.023823954164981842,32,4,relu,4,0.05,64,relu,256,1000,50,adam,0.0001
686,0.0018082242459058762,0.0018082242459058762,0.029317663982510567,0.0027552410028874874,0.0027552410028874874,0.026369601488113403,32,8,relu,1,0.0,32,relu,256,1000,50,adam,0.0001
84,0.004293294157832861,0.004293294157832861,0.04734807461500168,0.00280774780549109,0.00280774780549109,0.025647370144724846,16,16,relu,1,0.0,32,relu,256,1000,50,adam,0.001
92,0.004144661594182253,0.004144661594182253,0.046699244529008865,0.0027501462027430534,0.0027501462027430534,0.025682132691144943,16,16,relu,8,0.0,64,relu,256,1000,50,adam,1e-05
539,0.0020994211081415415,0.0020994211081415415,0.031974174082279205,0.0025850289966911077,0.0025850289966911077,0.024259328842163086,16,8,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
481,0.001977707026526332,0.001977707026526332,0.03096393682062626,0.0026144487783312798,0.0026144487783312798,0.024263061583042145,32,16,relu,8,0.1,64,relu,256,1000,50,adam,0.001
531,0.0020894096232950687,0.0020894096232950687,0.03175272420048714,0.0025790331419557333,0.0025790331419557333,0.024005619809031487,32,16,relu,4,0.1,32,relu,256,1000,50,adam,1e-05
120,0.0035455164033919573,0.0035455164033919573,0.043198361992836,0.0027400150429457426,0.0027400150429457426,0.02523197792470455,32,16,relu,4,0.1,32,relu,256,1000,50,adam,0.001
110,0.003681289264932275,0.003681289264932275,0.04333022981882095,0.002783064264804125,0.002783064264804125,0.026009822264313698,64,16,relu,8,0.1,32,relu,256,1000,50,adam,1e-05
112,0.0031314464285969734,0.0031314464285969734,0.039769820868968964,0.0027862864080816507,0.0027862864080816507,0.025367921218276024,64,16,relu,1,0.05,64,relu,256,1000,50,adam,0.001
280,0.002345970133319497,0.002345970133319497,0.033865347504615784,0.0027240412309765816,0.0027240412309765816,0.024883048608899117,16,16,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
59,0.005507464986294508,0.005507464986294508,0.057355109602212906,0.0028419014997780323,0.0028419014997780323,0.027253776788711548,64,16,relu,1,0.0,64,relu,256,1000,50,adam,0.001
71,0.00443761283531785,0.00443761283531785,0.04978763684630394,0.002791773993521929,0.002791773993521929,0.02500632405281067,16,16,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
512,0.0018515418050810695,0.0018515418050810695,0.02987024188041687,0.002592682372778654,0.002592682372778654,0.02419925667345524,64,8,relu,8,0.0,32,relu,256,1000,50,adam,0.001
299,0.0025900250766426325,0.0025900250766426325,0.035708751529455185,0.0028457327280193567,0.0028457327280193567,0.027266863733530045,32,8,relu,4,0.0,32,relu,256,1000,50,adam,0.001
213,0.0025039580650627613,0.0025039580650627613,0.035573020577430725,0.0027344035916030407,0.0027344035916030407,0.02489788457751274,64,16,relu,4,0.0,32,relu,256,1000,50,adam,1e-05
123,0.003841774770990014,0.003841774770990014,0.04534818232059479,0.0027560307644307613,0.0027560307644307613,0.024932384490966797,64,4,relu,4,0.0,32,relu,256,1000,50,adam,0.0001
645,0.0022004314232617617,0.0022004314232617617,0.032114818692207336,0.002611390082165599,0.002611390082165599,0.024255234748125076,64,16,relu,1,0.05,64,relu,256,1000,50,adam,1e-05
